sheet,cell,row,column,column_letter,data_type,is_date,value,formula,style_id,number_format,font_name,font_size,bold,italic,underline,font_color_rgb,fill_type,fill_fg_rgb,align_h,align_v,wrap_text,text_rotation,border_left,border_right,border_top,border_bottom,locked,hidden_formula,hyperlink_target,comment_author,comment_text,merged_range,row_height,column_width
Cover,A1,1,1,A,s,False,"This document is the property of Larsen & Toubro Limited, ECC Division - EDRC and must not be passed on to any third person or firm not authorised by us, nor be copied/made use of in full or part by such person or firm without our prior permission writing",,92,General,Aptos,10.0,False,False,,,,00000000,center,,True,90,medium,thin,medium,thin,True,False,,,,A1:A58,16.05,6.5546875
Cover,B1,1,2,B,n,False,,,13,General,Aptos,12.0,False,False,,,,00000000,,center,,0,thin,,medium,thin,False,False,,,,,16.05,3.77734375
Cover,C1,1,3,C,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,5.0
Cover,D1,1,4,D,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,4.77734375
Cover,E1,1,5,E,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,7.21875
Cover,F1,1,6,F,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,3.77734375
Cover,G1,1,7,G,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,7.21875
Cover,H1,1,8,H,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,5.44140625
Cover,I1,1,9,I,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,5.21875
Cover,J1,1,10,J,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,2.77734375
Cover,K1,1,11,K,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,5.77734375
Cover,L1,1,12,L,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,3.77734375
Cover,M1,1,13,M,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,4.21875
Cover,N1,1,14,N,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,3.77734375
Cover,O1,1,15,O,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,13.0
Cover,P1,1,16,P,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,6.21875
Cover,Q1,1,17,Q,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,4.77734375
Cover,R1,1,18,R,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,3.77734375
Cover,S1,1,19,S,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,13.0
Cover,T1,1,20,T,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,13.0
Cover,U1,1,21,U,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,8.5546875
Cover,V1,1,22,V,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,3.77734375
Cover,W1,1,23,W,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,13.0
Cover,X1,1,24,X,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,13.0
Cover,Y1,1,25,Y,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,5.21875
Cover,Z1,1,26,Z,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,6.21875
Cover,AA1,1,27,AA,n,False,,,14,General,Aptos,12.0,False,False,,,,00000000,,center,,0,,,medium,thin,False,False,,,,,16.05,5.77734375
