column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
A,1,1,6.5546875,False,False,0,False,59,True
B,2,2,3.77734375,False,False,0,False,59,True
C,3,3,5.0,False,False,0,False,59,True
D,4,4,4.77734375,False,False,0,False,59,True
E,5,5,7.21875,False,False,0,False,59,True
F,6,6,3.77734375,False,False,0,False,59,True
G,7,7,7.21875,False,False,0,False,59,True
H,8,8,5.44140625,False,False,0,False,59,True
I,9,9,5.21875,False,False,0,False,59,True
J,10,10,2.77734375,False,False,0,False,59,True
K,11,11,5.77734375,False,False,0,False,59,True
L,12,12,3.77734375,False,False,0,False,59,True
M,13,13,4.21875,False,False,0,False,59,True
N,14,15,3.77734375,False,False,0,False,59,True
P,16,16,6.21875,False,False,0,False,59,True
Q,17,17,4.77734375,False,False,0,False,59,True
R,18,20,3.77734375,False,False,0,False,59,True
U,21,21,8.5546875,False,False,0,False,59,True
V,22,24,3.77734375,False,False,0,False,59,True
Y,25,25,5.21875,False,False,0,False,59,True
Z,26,26,6.21875,False,False,0,False,59,True
AA,27,27,5.77734375,False,False,0,False,59,True
AB,28,28,3.77734375,False,False,0,False,59,True
AC,29,29,7.0,False,False,0,False,59,True
AD,30,30,3.77734375,False,False,0,False,59,True
AE,31,31,7.77734375,False,False,0,False,59,True
AF,32,16384,3.77734375,False,False,0,False,59,True
