sheet,cell,row,column,column_letter,data_type,is_date,value,formula,style_id,number_format,font_name,font_size,bold,italic,underline,font_color_rgb,fill_type,fill_fg_rgb,align_h,align_v,wrap_text,text_rotation,border_left,border_right,border_top,border_bottom,locked,hidden_formula,hyperlink_target,comment_author,comment_text,merged_range,row_height,column_width
FIELD ANALOG INST- PLC,B2,2,2,B,s,False,"L&T CONSTRUCTION
WATER & EFFLUENT TREATMENT",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,B2:F2,60.0,12.88671875
FIELD ANALOG INST- PLC,G2,2,7,G,s,False,"PROJECT: PROVIDING OF 24 X 7 DRINKING WATER SUPPLY INCLUDING 115 MLD WATER TREATMENT PLANT & ITS ALLIED WORKS INCLUDING O & M OF 10 YEARS AT PATIALA, PUNJAB",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,G2:M2,60.0,32.109375
FIELD ANALOG INST- PLC,N2,2,14,N,s,False,LTCD-WET-EDRC-C&I,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,N2:Q2,60.0,31.0
FIELD ANALOG INST- PLC,R2,2,18,R,n,False,,,8,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,,medium,,True,False,,,,,60.0,8.77734375
FIELD ANALOG INST- PLC,S2,2,19,S,n,False,,,8,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,,medium,,True,False,,,,,60.0,13.0
FIELD ANALOG INST- PLC,T2,2,20,T,n,False,,,8,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,,medium,,True,False,,,,,60.0,13.0
FIELD ANALOG INST- PLC,U2,2,21,U,n,False,,,8,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,,medium,,True,False,,,,,60.0,13.0
FIELD ANALOG INST- PLC,V2,2,22,V,n,False,,,8,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,,medium,,True,False,,,,,60.0,13.0
FIELD ANALOG INST- PLC,W2,2,23,W,n,False,,,8,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,,medium,,True,False,,,,,60.0,13.0
FIELD ANALOG INST- PLC,X2,2,24,X,n,False,,,8,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,,medium,,True,False,,,,,60.0,13.0
