column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
A,1,1,2.77734375,False,False,0,False,7,True
B,2,2,12.88671875,False,True,0,False,7,True
C,3,3,31.0,False,False,0,False,7,True
D,4,4,26.21875,False,True,0,False,7,True
E,5,5,18.88671875,False,False,0,False,7,True
F,6,6,20.109375,False,True,0,False,7,True
G,7,7,32.109375,False,True,0,False,7,True
H,8,8,36.5546875,False,True,0,False,7,True
I,9,9,21.0,False,True,0,False,7,True
J,10,10,17.88671875,False,True,0,False,7,True
K,11,11,40.44140625,False,True,0,False,7,True
L,12,12,39.33203125,False,True,0,False,7,True
M,13,13,40.44140625,False,True,0,False,7,True
N,14,14,31.0,False,True,0,False,11,True
O,15,15,17.88671875,False,True,0,False,7,True
P,16,16,88.21875,False,False,0,False,7,True
Q,17,17,17.109375,False,True,0,False,7,True
R,18,16384,8.77734375,False,False,0,False,7,True
