sheet,cell,row,column,column_letter,data_type,is_date,value,formula,style_id,number_format,font_name,font_size,bold,italic,underline,font_color_rgb,fill_type,fill_fg_rgb,align_h,align_v,wrap_text,text_rotation,border_left,border_right,border_top,border_bottom,locked,hidden_formula,hyperlink_target,comment_author,comment_text,merged_range,row_height,column_width
FIELD DIGITAL INST - PLC,B2,2,2,B,s,False,"L&T CONSTRUCTION
WATER & EFFLUENT TREATMENT",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,B2:G2,60.0,14.88671875
FIELD DIGITAL INST - PLC,H2,2,8,H,s,False,"PROJECT: PROVIDING OF 24 X 7 DRINKING WATER SUPPLY INCLUDING 115 MLD WATER TREATMENT PLANT & ITS ALLIED WORKS INCLUDING O & M OF 10 YEARS AT PATIALA, PUNJAB",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,H2:N2,60.0,44.88671875
FIELD DIGITAL INST - PLC,O2,2,15,O,s,False,LTCD-WET-EDRC-C&I,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,O2:R2,60.0,32.109375
FIELD DIGITAL INST - PLC,B3,3,2,B,s,False,CLIENT: ,,64,General,Aptos,18.0,True,False,,,,00000000,,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,14.88671875
FIELD DIGITAL INST - PLC,C3,3,3,C,s,False,PUNJAB WATER SUPPLY & SEWERAGE BOARD (PWSSB),,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,C3:G3,60.0,26.5546875
FIELD DIGITAL INST - PLC,H3,3,8,H,s,False,DOCUMENT NAME: INSTRUMENTATION CABLE INTERCONNECTION SCHEDULE FOR WTP,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,H3:N3,60.0,44.88671875
FIELD DIGITAL INST - PLC,O3,3,15,O,s,False,REV : A,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,O3:R3,60.0,32.109375
FIELD DIGITAL INST - PLC,B4,4,2,B,s,False,CONSULTANT: -,,162,General,Aptos,18.0,True,False,,,,00000000,left,center,True,0,thin,thin,thin,thin,True,False,,,,B4:G4,60.0,14.88671875
FIELD DIGITAL INST - PLC,H4,4,8,H,s,False,DOCUMENT NO: LE20M034-I-WS-CW-CI-5034,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,H4:N4,60.0,44.88671875
FIELD DIGITAL INST - PLC,O4,4,15,O,s,False,DATE: ,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,32.109375
FIELD DIGITAL INST - PLC,P4,4,16,P,f,False,=Cover!H61,=Cover!H61,158,d-mmm-yy,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,P4:R4,60.0,17.88671875
FIELD DIGITAL INST - PLC,B5,5,2,B,s,False,S.NO,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,B5:B6,30.0,14.88671875
FIELD DIGITAL INST - PLC,C5,5,3,C,s,False,TERMINATING AT PLC END,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,C5:G5,30.0,26.5546875
FIELD DIGITAL INST - PLC,H5,5,8,H,s,False,"FERRULE:
PLC END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,H5:H6,30.0,44.88671875
FIELD DIGITAL INST - PLC,I5,5,9,I,s,False,"FERRULE:
PLC-JB END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,I5:I6,30.0,19.33203125
FIELD DIGITAL INST - PLC,J5,5,10,J,s,False,JB DETAILS,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,J5:K5,30.0,21.0
FIELD DIGITAL INST - PLC,L5,5,12,L,s,False,"FERRULE:
JB-FIELD END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,L5:L6,30.0,22.33203125
FIELD DIGITAL INST - PLC,M5,5,13,M,s,False,CABLE TYPE,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,M5:M6,30.0,24.33203125
FIELD DIGITAL INST - PLC,N5,5,14,N,s,False,"FERRULE:
FIELD END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,N5:N6,30.0,43.77734375
FIELD DIGITAL INST - PLC,O5,5,15,O,s,False,ORIGINATING FROM FIELD END,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,O5:Q5,30.0,32.109375
FIELD DIGITAL INST - PLC,R5,5,18,R,s,False,REMARKS,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,R5:R6,30.0,81.0
FIELD DIGITAL INST - PLC,C6,6,3,C,s,False,CABLE TAG,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,26.5546875
FIELD DIGITAL INST - PLC,D6,6,4,D,s,False,CABLE TYPE,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,24.33203125
FIELD DIGITAL INST - PLC,E6,6,5,E,s,False,CORE NUMBERS,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,17.5546875
FIELD DIGITAL INST - PLC,F6,6,6,F,s,False,TERMINAL BLOCK,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,20.109375
FIELD DIGITAL INST - PLC,G6,6,7,G,s,False,TERMINALS,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,20.109375
FIELD DIGITAL INST - PLC,J6,6,10,J,s,False,EQUIPMENT,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,21.0
FIELD DIGITAL INST - PLC,K6,6,11,K,s,False,TERMINAL,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,17.88671875
