column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
A,1,1,2.77734375,False,False,0,False,0,True
B,2,2,14.88671875,False,True,0,False,0,True
C,3,3,26.5546875,False,True,0,False,0,True
D,4,4,24.33203125,False,True,0,False,0,True
E,5,5,17.5546875,False,False,0,False,0,True
F,6,6,20.109375,False,False,0,False,0,True
G,7,7,20.109375,False,True,0,False,0,True
H,8,8,44.88671875,False,True,0,False,0,True
I,9,9,19.33203125,False,True,0,False,0,True
J,10,10,21.0,False,True,0,False,0,True
K,11,11,17.88671875,False,True,0,False,0,True
L,12,12,22.33203125,False,True,0,False,0,True
M,13,13,24.33203125,False,True,0,False,0,True
N,14,14,43.77734375,False,True,0,False,0,True
O,15,15,32.109375,False,True,0,False,12,True
P,16,16,17.88671875,False,True,0,False,0,True
Q,17,17,56.77734375,False,True,0,False,0,True
R,18,18,81.0,False,True,0,False,0,True
