sheet,cell,row,column,column_letter,data_type,is_date,value,formula,style_id,number_format,font_name,font_size,bold,italic,underline,font_color_rgb,fill_type,fill_fg_rgb,align_h,align_v,wrap_text,text_rotation,border_left,border_right,border_top,border_bottom,locked,hidden_formula,hyperlink_target,comment_author,comment_text,merged_range,row_height,column_width
MCC-PLC,B2,2,2,B,s,False,"L&T CONSTRUCTION
WATER & EFFLUENT TREATMENT",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,B2:E2,60.0,12.88671875
MCC-PLC,F2,2,6,F,s,False,"PROJECT: PROVIDING OF 24 X 7 DRINKING WATER SUPPLY INCLUDING 115 MLD WATER TREATMENT PLANT & ITS ALLIED WORKS INCLUDING O & M OF 10 YEARS AT PATIALA, PUNJAB",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,F2:L2,60.0,22.33203125
MCC-PLC,M2,2,13,M,s,False,LTCD-WET-EDRC-C&I,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,M2:O2,60.0,68.109375
MCC-PLC,P2,2,16,P,n,False,,,89,General,Arial,14.0,True,False,,,,00000000,,,,0,thin,thin,thin,thin,True,False,,,,,60.0,41.0
MCC-PLC,B3,3,2,B,s,False,CLIENT,,64,General,Aptos,18.0,True,False,,,,00000000,,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,12.88671875
MCC-PLC,C3,3,3,C,s,False,PUNJAB WATER SUPPLY & SEWERAGE BOARD (PWSSB),,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,C3:E3,60.0,37.5546875
MCC-PLC,F3,3,6,F,s,False,DOCUMENT NAME: INSTRUMENTATION CABLE INTERCONNECTION SCHEDULE FOR WTP,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,F3:L3,60.0,22.33203125
MCC-PLC,M3,3,13,M,s,False,REV.A,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,M3:O3,60.0,68.109375
MCC-PLC,P3,3,16,P,n,False,,,89,General,Arial,14.0,True,False,,,,00000000,,,,0,thin,thin,thin,thin,True,False,,,,,60.0,41.0
MCC-PLC,B4,4,2,B,s,False,CONSULTANT: -,,162,General,Aptos,18.0,True,False,,,,00000000,left,center,True,0,thin,thin,thin,thin,True,False,,,,B4:E4,60.0,12.88671875
MCC-PLC,F4,4,6,F,s,False,DOCUMENT NO: LE20M034-I-WS-CW-CI-5034,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,F4:L4,60.0,22.33203125
MCC-PLC,M4,4,13,M,s,False,DATE: 04-10-2025,,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,M4:O4,60.0,68.109375
MCC-PLC,P4,4,16,P,n,False,,,89,General,Arial,14.0,True,False,,,,00000000,,,,0,thin,thin,thin,thin,True,False,,,,,60.0,41.0
MCC-PLC,B5,5,2,B,s,False,S.NO,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,B5:B6,30.0,12.88671875
MCC-PLC,C5,5,3,C,s,False,TERMINATING AT PLC END,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,C5:G5,30.0,37.5546875
MCC-PLC,H5,5,8,H,s,False,"FERRULE:
PLC END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,H5:H6,30.0,32.109375
MCC-PLC,I5,5,9,I,s,False,MCC DETAILS,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,I5:J5,30.0,25.109375
MCC-PLC,K5,5,11,K,s,False,"FERRULE:
MCC END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,K5:K6,30.0,33.44140625
MCC-PLC,L5,5,12,L,s,False,ORIGINATING FROM FIELD END,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,L5:N5,30.0,36.44140625
MCC-PLC,O5,5,15,O,s,False,REMARKS,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,O5:O6,30.0,80.109375
MCC-PLC,P5,5,16,P,n,False,,,89,General,Arial,14.0,True,False,,,,00000000,,,,0,thin,thin,thin,thin,True,False,,,,,30.0,41.0
MCC-PLC,C6,6,3,C,s,False,CABLE TAG,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,37.5546875
MCC-PLC,D6,6,4,D,s,False,CABLE TYPE,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,45.0
MCC-PLC,E6,6,5,E,s,False,CORE,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,10.6640625
MCC-PLC,F6,6,6,F,s,False,TERMINAL BLOCK,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,22.33203125
MCC-PLC,G6,6,7,G,s,False,TERMINALS,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,20.109375
MCC-PLC,I6,6,9,I,s,False,MCC   ,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,25.109375
MCC-PLC,J6,6,10,J,s,False,TERMINAL,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,28.44140625
MCC-PLC,L6,6,12,L,s,False,DRIVE TAG,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,36.44140625
MCC-PLC,M6,6,13,M,s,False,DRIVE DESCRIPTION,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,68.109375
MCC-PLC,N6,6,14,N,s,False,SIGNAL DESCRIPTION,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,58.21875
