column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
A,1,1,2.77734375,False,False,0,False,169,True
B,2,2,14.88671875,False,True,0,False,169,True
C,3,3,31.77734375,False,True,0,False,77,True
D,4,4,45.44140625,False,False,0,False,169,True
E,5,5,16.21875,False,False,0,False,169,True
F,6,6,19.21875,False,False,0,False,169,True
G,7,7,20.109375,False,True,0,False,169,True
H,8,9,49.5546875,False,True,0,False,169,True
J,10,10,29.0,False,True,0,False,169,True
K,11,11,31.77734375,False,True,0,False,169,True
L,12,12,58.88671875,False,False,0,False,169,True
M,13,13,62.109375,False,True,0,False,169,True
N,14,14,77.88671875,False,False,0,False,169,True
O,15,228,9.21875,False,False,0,False,169,True
HU,229,229,2.77734375,False,False,0,False,169,True
HV,230,230,7.21875,False,False,0,False,169,True
HW,231,231,23.77734375,False,False,0,False,169,True
HX,232,232,17.21875,False,False,0,False,169,True
HY,233,233,15.0,False,False,0,False,169,True
HZ,234,234,18.77734375,False,True,0,False,169,True
IA,235,235,15.21875,False,False,0,False,169,True
IB,236,236,9.77734375,False,False,0,False,169,True
IC,237,237,41.21875,False,False,0,False,169,True
ID,238,238,41.44140625,False,False,0,False,169,True
IE,239,240,22.44140625,False,False,0,False,169,True
IG,241,241,30.44140625,False,False,0,False,169,True
IH,242,242,33.21875,False,False,0,False,169,True
II,243,243,21.21875,False,False,0,False,169,True
IJ,244,484,9.21875,False,False,0,False,169,True
RQ,485,485,2.77734375,False,False,0,False,169,True
RR,486,486,7.21875,False,False,0,False,169,True
RS,487,487,23.77734375,False,False,0,False,169,True
RT,488,488,17.21875,False,False,0,False,169,True
RU,489,489,15.0,False,False,0,False,169,True
RV,490,490,18.77734375,False,True,0,False,169,True
RW,491,491,15.21875,False,False,0,False,169,True
RX,492,492,9.77734375,False,False,0,False,169,True
RY,493,493,41.21875,False,False,0,False,169,True
RZ,494,494,41.44140625,False,False,0,False,169,True
SA,495,496,22.44140625,False,False,0,False,169,True
SC,497,497,30.44140625,False,False,0,False,169,True
SD,498,498,33.21875,False,False,0,False,169,True
SE,499,499,21.21875,False,False,0,False,169,True
SF,500,740,9.21875,False,False,0,False,169,True
ABM,741,741,2.77734375,False,False,0,False,169,True
ABN,742,742,7.21875,False,False,0,False,169,True
ABO,743,743,23.77734375,False,False,0,False,169,True
ABP,744,744,17.21875,False,False,0,False,169,True
ABQ,745,745,15.0,False,False,0,False,169,True
ABR,746,746,18.77734375,False,True,0,False,169,True
ABS,747,747,15.21875,False,False,0,False,169,True
ABT,748,748,9.77734375,False,False,0,False,169,True
ABU,749,749,41.21875,False,False,0,False,169,True
ABV,750,750,41.44140625,False,False,0,False,169,True
ABW,751,752,22.44140625,False,False,0,False,169,True
ABY,753,753,30.44140625,False,False,0,False,169,True
ABZ,754,754,33.21875,False,False,0,False,169,True
ACA,755,755,21.21875,False,False,0,False,169,True
ACB,756,996,9.21875,False,False,0,False,169,True
ALI,997,997,2.77734375,False,False,0,False,169,True
ALJ,998,998,7.21875,False,False,0,False,169,True
ALK,999,999,23.77734375,False,False,0,False,169,True
ALL,1000,1000,17.21875,False,False,0,False,169,True
ALM,1001,1001,15.0,False,False,0,False,169,True
ALN,1002,1002,18.77734375,False,True,0,False,169,True
ALO,1003,1003,15.21875,False,False,0,False,169,True
ALP,1004,1004,9.77734375,False,False,0,False,169,True
ALQ,1005,1005,41.21875,False,False,0,False,169,True
ALR,1006,1006,41.44140625,False,False,0,False,169,True
ALS,1007,1008,22.44140625,False,False,0,False,169,True
