column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
A,1,1,2.77734375,False,False,0,False,2,True
B,2,2,12.88671875,False,True,0,False,2,True
C,3,3,35.44140625,False,False,0,False,2,True
D,4,4,38.109375,False,False,0,False,2,True
E,5,5,20.6640625,False,False,0,False,3,True
F,6,6,20.109375,False,True,0,False,2,True
G,7,7,32.109375,False,True,0,False,2,True
H,8,9,22.109375,False,False,0,False,2,True
J,10,10,32.109375,False,True,0,False,2,True
K,11,11,27.6640625,False,True,0,False,4,True
L,12,12,17.88671875,False,True,0,False,2,True
M,13,13,81.77734375,False,False,0,False,2,True
N,14,14,17.109375,False,True,0,False,2,True
O,15,16384,9.21875,False,False,0,False,2,True
